seq;timestamp;data
69;1745751634.930482;0.738597 0.347691 0.323257 0.456290 0.215075 0.068325 0.094826 0.063663 0.039633 0.032776 0.024954 0.019799 0.017466 0.017471 0.017067 -0.091787 -0.322604 0.080136 -0.006790 -0.247831 -0.207205 -0.127091 -0.112340 -0.094108 -0.069801 -0.049913 -0.034494 -0.023183 -0.014824 -0.007469
70;1745751635.117060;0.072832 0.603424 0.495390 0.188290 0.325549 0.100848 0.086846 0.057987 0.045005 0.033659 0.022577 0.018444 0.017053 0.017091 0.016002 0.310223 -0.270436 -0.206918 -0.171185 -0.256436 -0.196553 -0.149905 -0.148458 -0.100886 -0.067244 -0.049336 -0.035017 -0.024174 -0.014306 -0.008570
71;1745751635.312644;2.069646 0.286856 0.731831 0.408335 0.108265 0.111200 0.028816 0.063231 0.043815 0.031333 0.023184 0.017665 0.018041 0.016873 0.015723 0.614907 -0.035900 -0.274509 -0.159645 -0.312344 -0.222361 -0.155880 -0.132977 -0.093851 -0.065942 -0.047739 -0.035058 -0.023137 -0.015419 -0.008159
72;1745751635.508836;0.247449 0.658013 0.347780 0.185723 0.163482 0.114415 0.085108 0.048162 0.044045 0.035398 0.024521 0.022236 0.017624 0.017321 0.016224 0.027458 0.222525 0.780111 -0.208303 -0.141705 -0.204856 -0.127228 -0.113443 -0.096193 -0.072338 -0.052385 -0.036585 -0.023394 -0.015080 -0.007541
73;1745751635.696131;0.191797 0.542371 0.527868 0.280477 0.255641 0.101512 0.059573 0.050570 0.037777 0.021338 0.020882 0.020941 0.018378 0.017046 0.016053 0.011509 -0.252678 -0.296698 -0.061130 -0.262537 -0.201633 -0.163035 -0.118714 -0.092816 -0.069860 -0.049928 -0.035663 -0.024569 -0.014933 -0.007865
74;1745751635.893968;0.410101 0.740467 0.442758 0.267932 0.213073 0.127089 0.062926 0.044359 0.048311 0.036552 0.021907 0.020526 0.018833 0.017155 0.015983 0.235170 -0.846221 -0.065615 -0.146714 -0.239311 -0.144630 -0.182752 -0.134389 -0.100579 -0.067951 -0.052461 -0.034378 -0.023931 -0.015187 -0.007859
75;1745751636.068078;-0.299765 0.783516 0.210497 0.314132 0.149685 0.046415 0.093212 0.061084 0.040143 0.028406 0.023880 0.021696 0.018170 0.017675 0.016357 0.195472 -0.482281 -0.270714 -0.086054 -0.211067 -0.210972 -0.129795 -0.114942 -0.102118 -0.076685 -0.048916 -0.036622 -0.024150 -0.014873 -0.007747
76;1745751636.256377;0.095647 0.649646 0.411306 0.460369 0.196222 0.111411 0.094364 0.075958 0.049744 0.025697 0.021714 0.020621 0.017827 0.016909 0.016629 0.323729 -0.215286 -0.399704 -0.123236 -0.180180 -0.188323 -0.164665 -0.132023 -0.098090 -0.067523 -0.050680 -0.034949 -0.023190 -0.014685 -0.008283
77;1745751636.434400;0.705783 0.314124 1.007531 0.211839 0.291634 0.144873 0.073091 0.071903 0.042360 0.032113 0.020923 0.017947 0.018076 0.016653 0.016829 0.040576 -0.196283 0.443099 -0.211735 -0.154329 -0.161542 -0.137021 -0.114581 -0.098083 -0.070440 -0.053232 -0.035215 -0.024354 -0.015352 -0.008111
78;1745751636.615471;0.383802 0.159594 0.339742 0.313090 0.332910 0.140243 0.079154 0.072729 0.042099 0.033568 0.021663 0.019238 0.017312 0.016678 0.016811 0.168092 -0.311933 -0.300435 -0.218310 -0.172057 -0.184691 -0.150306 -0.115683 -0.106069 -0.064302 -0.049014 -0.035506 -0.023979 -0.014990 -0.007788
79;1745751636.795015;-0.279473 0.371681 0.669407 0.313827 0.269137 0.061850 0.092309 0.091586 0.049952 0.030910 0.026573 0.021426 0.017879 0.017029 0.016370 1.450158 -1.180295 -0.116667 -0.158054 -0.267841 -0.167193 -0.134554 -0.131679 -0.111906 -0.069012 -0.051817 -0.033544 -0.024024 -0.014748 -0.007273
